Employee Name,Age,Last Working Day,Department,Education,Gender,Marital Status,Monthly Income,Years of Experience,Percent Salary Hike,Performance Rating
Ashish,41,31-12-9999,Training,Masters,Male,Single,5993,8,11,3
Sanjit,49,31-12-9999,Sales,Masters,Male,Married,5130,1,23,5
Anup,37,31-12-9999,R&D,Doctorate,Male,Single,2090,6,15,3
Sandra,33,31-12-9999,Software Development,Undergraduate,Female,Married,2909,1,11,3
Madhu,27,31-12-9999,R&D,Masters,Male,Married,3468,9,12,3
Alok,32,31-12-9999,R&D,Masters,Male,Single,3068,0,13,3
Pooja,59,31-12-9999,Software Development,Masters,Female,Married,2670,4,20,5
Nitish,30,31-12-9999,R&D,Doctorate,Male,Divorced,2693,1,22,5
Will,38,1/3/2012,R&D,Doctorate,Male,Single,9526,0,21,5
George,36,31-12-9999,Software Development,Masters,,Married,5237,6,13,3
Ravi,35,31-12-9999,Software Development,Masters,Male,Married,2426,0,13,3
Ravi,35,31-12-9999,Software Development,Masters,Male,Married,2426,0,13,3
Ravi,35,31-12-9999,Software Development,Masters,Male,Married,2426,0,13,3
